,Payment ID,total_bill,tip,sex,smoker,day,time,size,price_per_person,Payer Name,CC Number,price_cat,last_four
0,Sun2959,16.99,1.01,Female,No,Sun,D,2,8.5,Christy Cunningham,3560325168603410,$$,3410
1,Sun4608,10.34,1.66,Male,No,Sun,D,3,3.4,Douglas Tucker,4478071379779230,$$,9230
2,Sun4458,21.01,3.5,Male,No,Sun,D,3,7.0,Travis Walters,6011812112971322,$$,1322
3,Sun5260,23.68,3.31,Male,No,Sun,D,2,11.8,Nathaniel Harris,4676137647685994,$$,5994
4,Sun2251,24.59,3.61,Female,No,Sun,D,4,6.2,Tonya Carter,4832732618637221,$$,7221
5,Sun9679,25.29,4.71,Male,No,Sun,D,4,6.3,Erik Smith,213140353657882,$$,7882
6,Sun5985,8.77,2.0,Male,No,Sun,D,2,4.4,Kristopher Johnson,2223727524230344,$,0344
7,Sun8157,26.88,3.12,Male,No,Sun,D,4,6.7,Robert Buck,3514785077705092,$$,5092
8,Sun6820,15.04,1.96,Male,No,Sun,D,2,7.5,Joseph Mcdonald,3522866365840377,$$,0377
9,Sun3775,14.78,3.23,Male,No,Sun,D,2,7.4,Jerome Abbott,3532124519049786,$$,9786
10,Sun2546,10.27,1.71,Male,No,Sun,D,2,5.1,William Riley,566287581219,$$,1219
11,Sun6686,35.26,5.0,Female,No,Sun,D,4,8.8,Diane Macias,4577817359320969,$$$,0969
12,Sun1300,15.42,1.57,Male,No,Sun,D,2,7.7,Chad Harrington,577040572932,$$,2932
13,Sun2971,18.43,3.0,Male,No,Sun,D,4,4.6,Joshua Jones,6011163105616890,$$,6890
14,Sun3848,14.83,3.02,Female,No,Sun,D,2,7.4,Vanessa Jones,30016702287574,$$,7574
15,Sun1878,21.58,3.92,Male,No,Sun,D,2,10.8,Matthew Reilly,180073029785069,$$,5069
16,Sun9715,10.33,1.67,Female,No,Sun,D,3,3.4,Elizabeth Foster,4240025044626033,$$,6033
17,Sun2998,16.29,3.71,Male,No,Sun,D,3,5.4,John Pittman,6521340257218708,$$,8708
18,Sun2789,16.97,3.5,Female,No,Sun,D,3,5.7,Laura Martinez,30422275171379,$$,1379
19,Sat9213,20.65,3.35,Male,No,Sat,D,3,6.9,Timothy Oneal,6568069240986485,$$,6485
20,Sat1709,17.92,4.08,Male,No,Sat,D,2,9.0,Thomas Rice,4403296224639756,$$,9756
21,Sat9618,20.29,2.75,Female,No,Sat,D,2,10.1,Natalie Gardner,5448125351489749,$$,9749
22,Sat9786,15.77,2.23,Female,No,Sat,D,2,7.9,Ashley Shelton,3524119516293213,$$,3213
23,Sat239,39.42,7.58,Male,No,Sat,D,4,9.9,Lance Peterson,3542584061609808,$$$,9808
24,Sat6236,19.82,3.18,Male,No,Sat,D,2,9.9,Christopher Ross,36739148167928,$$,7928
25,Sat907,17.81,2.34,Male,No,Sat,D,4,4.4,Robert Perkins,30502930499388,$$,9388
26,Sat6651,13.37,2.0,Male,No,Sat,D,2,6.7,Kyle Avery,6531339539615499,$$,5499
27,Sat394,12.69,2.0,Male,No,Sat,D,2,6.3,Patrick Barber,30155551880343,$$,0343
28,Sat3697,21.7,4.3,Male,No,Sat,D,2,10.8,David Collier,5529694315416009,$$,6009
29,Sat2467,19.65,3.0,Female,No,Sat,D,2,9.8,Melinda Murphy,5489272944576051,$$,6051
30,Sat4099,9.55,1.45,Male,No,Sat,D,2,4.8,Grant Hall,30196517521548,$,1548
31,Sat4947,18.35,2.5,Male,No,Sat,D,4,4.6,Danny Santiago,630415546013,$$,6013
32,Sat1327,15.06,3.0,Female,No,Sat,D,2,7.5,Amanda Wilson,213186304291560,$$,1560
